opportunity_id,vertical,use_case_id,technology_id,priority_score,evidence_count,nace_codes,expected_nace_code_count,denominator_method,vertical_mapping_status,vertical_mapping_quality,vertical_statistical_scope,vertical_mapping_limitation,technology_proxy,technology_mapping_status,demand_scenario,assumption_status,currency,annual_value_method,geography_level,geography_id,geography_label,expected_country_count,selected_market_enterprise_base,addressable_enterprise_base,country_size_cells,countries_with_source_data,nace_country_cells_with_source_data,invalid_enterprise_input_cells,invalid_adoption_input_cells,adoption_basis,adoption_proxy_reason,low_annual_value_eur,central_annual_value_eur,high_annual_value_eur,public_employment_persons,general_public_services_expenditure_eur,defence_expenditure_eur,linked_ted_notice_count,country_coverage_ratio,country_coverage_status,expected_nace_country_cells,nace_component_coverage_ratio,nace_component_coverage_status,low_annual_potential_eur,central_annual_potential_eur,high_annual_potential_eur,market_potential_status,validation_status,market_scope,interpretation_note
Public/Gov sector | compliance-monitoring | cybersecurity-platform,Public/Gov sector,compliance-monitoring,cybersecurity-platform,81.7,7,O,1,public_buyer_count,mapped_public_buyer_denominator,alternative_public_buyer_denominator,"Public administration and defence; compulsory social security, with NACE O employment and COFOG expenditure as context","NACE O is outside SBS. The calculation uses deduplicated opportunity-linked TED buyers as an observed procurement-active lower bound, not the total public-authority population.",public_procurement_evidence,not_required_public_buyer_method,active_public_procurement,not_approved,,scenario_specific,country,HR,HR,1,1.0,1.0,1,1,1,0,0,observed_opportunity_linked_ted_buyers,Observed procurement-active buyer lower bound. NACE O employment and COFOG expenditure are context only and are not multiplied into market size.,,,,116880.0,4756300000.0,1259700000.0,1.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,FI,FI,1,2.0,1.9952,2,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,FR,FR,1,3.0,2.9784,1,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,HR,HR,1,1.0,0.994,2,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,IE,IE,1,0.0,0.0,2,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,IT,IT,1,15.0,14.7355,2,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,LT,LT,1,1.0,0.9731,2,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,LU,LU,1,0.0,0.0,2,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,NL,NL,1,0.0,0.0,2,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,NO,NO,1,3.0,2.9722999999999997,2,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,PL,PL,1,4.0,3.9335,2,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,PT,PT,1,1.0,0.9902,2,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,RO,RO,1,0.0,0.0,2,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,SE,SE,1,5.0,4.9486,2,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,SI,SI,1,0.0,0.0,2,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
Defense | compliance-monitoring | cybersecurity-platform,Defense,compliance-monitoring,cybersecurity-platform,81.1,13,C254,1,sbs_enterprise_count,mapped,narrow_proxy,Manufacture of weapons and ammunition,"A narrow industrial proxy; it excludes armed forces, most defense services, aerospace defense and dual-use suppliers.",cybersecurity,mapped_proxy,expansion_or_managed_service,not_approved,,scenario_specific,country,SK,SK,1,5.0,4.6899999999999995,1,1,1,0,0,proxy,All-business non-financial ICT rate used as a cross-vertical proxy; it is not a vertical-specific adoption rate.,,,,,,,0.0,1.0,complete,1,1.0,complete,,,,not_estimable_annual_value_not_approved,blocked_annual_value_not_approved,Orange Business Europe market-sizing scope,"Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy. Review vertical_mapping_quality, vertical_mapping_limitation, country_coverage_status and nace_component_coverage_status. For Public/Government, opportunity-linked TED buyers are an observed lower bound; NACE O employment and COFOG expenditure are context only."
