source,source_url,source_layer,source_category,source_quality_default,primary_value,domains,collection_method,verification_status,priority,notes
O-RAN Alliance,https://www.o-ran.org,primary_technical,industry_body,4,"Open RAN specifications and ecosystem maturity","network automation; private wireless","technical publications",candidate,P1,"Use for technical maturity, not broad market demand."
LF Edge,https://lfedge.org,primary_technical,industry_body,4,"Edge computing and open-source ecosystem developments","edge; distributed AI","website and project updates",candidate,P1,"Useful for architecture and ecosystem scanning."
Cloud Security Alliance,https://cloudsecurityalliance.org,primary_technical,industry_body,4,"Cloud security controls, research, and maturity models","trusted cloud; SASE; AI security","research publications",candidate,P1,"Industry research; assess each publication's methodology."
Gaia-X,https://gaia-x.eu,industry_adoption,industry_body,3,"European data-space and sovereignty ecosystem developments","sovereign cloud; data spaces","website and newsletters",candidate,P1,"Ecosystem signal, not proof of broad market adoption."
CISPE,https://cispe.eu,industry_adoption,industry_body,3,"European cloud-provider policy and sovereignty context","sovereign cloud; cloud policy","website and policy updates",candidate,P1,"Use as industry-position evidence."
Stanford AI Index,https://aiindex.stanford.edu,analyst_research,research_institute,4,"AI adoption, performance, investment, and policy indicators","AI; agentic AI","annual report",candidate,P1,"Annual context; not a weekly alert source."
OECD AI,https://oecd.ai,primary_policy,intergovernmental_organization,4,"AI policy, indicators, and country comparisons","AI; public sector","website and reports",candidate,P1,"Useful for policy and maturity comparisons."
MLCommons,https://mlcommons.org,primary_technical,benchmark_organization,4,"AI system and model benchmark results","AI; edge AI","benchmark releases",candidate,P1,"Use benchmarks with their stated scope and limitations."
MITRE ATT&CK,https://attack.mitre.org,primary_technical,research_institute,5,"Adversary techniques and detection-engineering vocabulary","security analytics; XDR; SIEM","website and knowledge-base updates",candidate,P1,"Standard vocabulary for security analytics use cases."
Verizon DBIR,https://www.verizon.com/business/resources/reports/dbir/,industry_adoption,industry_report,4,"Cyber incident patterns and sector risk trends","cybersecurity; security analytics","annual report",candidate,P1,"Use for macro threat patterns rather than individual-event evidence."
Orange Business,https://www.orange-business.com,orange_evidence,orange_owned,3,"Offers, partner activity, customer references, and strategic positioning","all","press, insights, case studies, partner pages",candidate,P0,"Use for Right to Win, not as sole market-attractiveness evidence."
Orange Cyberdefense,https://orangecyberdefense.com,orange_evidence,orange_owned,3,"Threat intelligence, managed security capability, and customer proof points","cybersecurity; security analytics","reports, research, and press",candidate,P0,"Use for cybersecurity Right to Win and proof signals."
Orange Press,https://www.orange.com/en/press,orange_evidence,orange_owned,3,"Group strategy, investment, partnership, and financial announcements","all","press releases",candidate,P0,"Use for strategic relevance and assets."
Orange Innovation,https://www.orange.com/en/innovation,orange_evidence,orange_owned,3,"Research, pilots, patents, and technology development","AI; edge; 5G; IoT","website and reports",candidate,P1,"Use as emerging capability evidence."
Orange Ventures,https://orangeventures.com,orange_evidence,orange_owned,3,"Startup investments and ecosystem direction","startups; AI; cybersecurity; deeptech","website and portfolio updates",candidate,P2,"Market-move and ecosystem signal only."
World Economic Forum,https://www.weforum.org,industry_adoption,intergovernmental_organization,4,"Industry transformation, manufacturing, mobility, and public-private initiatives","manufacturing; logistics; energy","reports and initiatives",candidate,P2,"Use reports with clear methodology."
Plattform Industrie 4.0,https://www.plattform-i40.de,industry_adoption,industry_body,4,"German industrial digitalization, interoperability, and manufacturing policy","manufacturing; smart industry","website and publications",candidate,P2,"Useful for industrial use-case maturity."
OPC Foundation,https://opcfoundation.org,primary_technical,standards_body,4,"Industrial interoperability and OT/IT integration","manufacturing; industrial IoT","technical publications",candidate,P2,"Technical standards and ecosystem source."
World Bank GovTech,https://www.worldbank.org,enforcement_and_policy,intergovernmental_organization,4,"Government digital maturity and international public-sector context","public sector; smart cities","reports",candidate,P2,"Use country-level maturity studies for long-term context."
IEA,https://www.iea.org,industry_adoption,intergovernmental_organization,5,"Energy transition, grid digitalization, and data-center energy demand","energy; data centers","reports and analysis",candidate,P1,"High-value source for energy/data-center constraints."
European Defence Agency,https://eda.europa.eu,primary_policy,eu_agency,4,"European defense capability and procurement context","defense; secure communications; sovereign AI","website and publications",candidate,P2,"Use alongside official national/EU procurement evidence."
